No.,Category,question,answer,BLEU,BERT
197,Technical Questions,"Is there a good way to copy ur programs and installations between ur 10e¡¯s 20e¡¯s and 30e¡¯s? i¡¯m trying to copy a ur 20e program into a ur 10e but it seems to want the installation as well, but i know the 20 and 30 have slightly different requirements/ restrictions for the installations than their predecessors. is there a way to copy just the program? is there a way to automatically cap the angle limits & velocities that seem to be the primary difference in the 20e and 30e installation files? am i going about this the wrong way entirely? any insight would be appreciated?","I would use these 2 magic files: - Backup programs from robot to USB stick - Copy programs from USB stick to robot Be aware that when plugging a USB stick in the controller, the magic file(s) will be executed immediately. So first put ONLY the backup magic file and get the programs in the USB stick, and then replace it with the copy magic file and transfer the programs to the rest of robots.",0.0422,0.8241
198,Technical Questions,"In case of pick and place application, we have a vacuum sensor, connected to DI, which is TRUE, when we successfully pick a part. In case of any situation, where robot drops the part, the DI will go FALSE. How in this situation to interrupt execution of the program, and to return the at home position a request for new cycle? I think for IF DI = TRUE do something construction, but my understanding, that it would become quite a lot nested IF constructions. It would become a rather cumbersome structure. Is there more elegant approach? Svetozar?","Use the ¡°Check expression continuously¡± box in the IF statement. image751¡¿219 40.1 KB This means that the condition DI=True will be tracked as long as the things inside the IF statement are still running The concept is important because once you are out of the IF, the condition won¡¯t be checked again.",0.0271,0.8239
199,Technical Questions,"New on here and out of touch with UR stuff. A UR5 with CB2 control has failed and is to be upgraded to a new CB3e unit. Will existing CB2 programs/scripts run on the CB3e? Is there any documentation of what needs to be done to get existing stuff to work? If this goes ahead, I will be back here A LOT!! Brendan?","Brendan, You first have to clarify, if you¡¯re upgrading to a UR3e or CB3 robot. They¡¯re two different types of robots.",0.0132,0.8485
200,Technical Questions,I want to upgrade my CB1 robot thats in use to a E-series. Is it possible to upgrade from CB1 to E.series just like CB3 to E-series? Or do you have to make a whole new program etc. Or is there a different way? Please write your own experience with upgrading from a CB1 to a E-series. before hand!?,"I doubt you¡¯ll find anyone, that has upgraded directly from CB1 to E-series. There are very few CB1s left.",0.0208,0.8737
201,Technical Questions,That checkbox exists in the Thread node. What does it actually do?,"It tracks the program execution within that thread instead of your main sequence. When you execute a program, you can click on the arrow in the lower right corner to see which line is being executed",0.0398,0.8527
202,Technical Questions,"In Polyscope we have ¡°check expression continuously¡±. If we place a movel in a loop and select ¡°check expression continuously¡± the robot can exit the loop and thus the movel before the robot reaches the next way point. By way of example, if we have a loop expression that exits at 1 minute and inside the loop we have a movel to a waypoint that take 3 minutes, with check_expression_continuously, the robot will jump out of the movel (use stopj(.25) for smoothing). How can I achieve this Polyscope function but using entirely URScript? I¡¯ve tried different versions of loops and incorporated threads, but none of these actually work. The robot always continues to the programmed waypoint before exiting the loop?","if you save a Polyscope program having a moveL with a ¡°check expression continuously¡±, then you can retrieve the .script file generated automatically. For example if you save the program test.urp, in the same folder you will find test.script.",0.0122,0.8461
203,Technical Questions,"My understanding for use of installation variable, is to store key positions (pounces), which then must be used among different programs in the robot. Defining installation variable is clear but my point is to their initialization. In other robotic systems (FANUC for example) you can set the robot into position and to copy X,Y,Z,RX,RY,RZ into a position register. My understanding is that here in UR it is not possible (this way). Is the only way here to do this, is to manually enter the values of X, Y, Z and the values for rotation vector RX,RY,RZ (rad) in Installation.General.Variable? Svetozar Yolov?","Svetozar, The main difference between program variables and installation variables is that program variables are reset between program runs, while installation variables are saved, even after the controller reboots. But you access and update the variables in the same way, through the program.",0.0299,0.8368
204,Technical Questions,"I am using a Raspberry Pi camera for 3D printer to take images of printed parts, and according to images, I want the robot to pick up the parts directly from the 3D printer. I don¡¯t want to buy the expensive gripper from Robotiq, which comes with a camera. Any suggestions that I can send images from Raspberry Pi camera to UR3e? Sumedh Kirve?",Sumedh Let the Raspberry Pi analyze the images and calculate the pickup point. Send this information via WiFi to a ¡°Connection PC¡± (Windows 10 pro).,0.0271,0.8454
205,Technical Questions,"I want it to stop until I can remove a section of the material we use and then manually start it again, I don¡¯t want to use the pause button in case I miss the section I need to remove something?","You can either use a popup on the screen, which pauses the robot in place until the popup has been acknowledged, or you can use the Wait command that waits for maybe a push button connected to a digital input",0.0819,0.8424
206,Technical Questions,"I am working on controlling a UR5 robot using RTDE and aiming to update the input_double_register values at a 500 Hz rate (every 2ms). I¡¯ve adapted this servoJ control example to include input_double_registers 0-5 and timestamps in the state recipe, which are then logged to a CSV file. I¡¯ve noticed that the input registers are not consistently updated every cycle as expected. I¡¯ve shown a plot, but the duplicates aren¡¯t very obvious in it. Looking over the log, I see there are duplicates of the input_double_register values which are the set point joint angles, suggesting that updates aren¡¯t occurring at the intended frequency. It seems inconsistent, as the registers sometimes increment properly with new values at each 2ms cycle. I¡¯ve set the servoj command in the URP program to 2ms. I have about 600 joint angles, so I would expect the total time to take about 1.2 seconds, but the timestamps show it is taking about 1.7 seconds. Timing is important for my application, so it would be great if anyone knew why this might be occurring. I might be missing something or misunderstanding the process since I¡¯m new to this. servoJ_actual_input_joints2560¡¿1327 233 KB?","Maybe same problem as described here: Strange behavior with multiple RTDE clients enabled Robot Communication I am working with an ATI sensor and also streaming points to the robot using RTDE. I¡¯ve noted that when I use just the RTDE interface, the robot appears to move quite smoothly, but when I wrap the move command in polyscope with the force command the update rate on point streaming decreases significantly.",0.0252,0.8349
207,Technical Questions,"There, is there a known way to seperate the acceleration and deceleration for a linear movement to a given point? Best case is I can defice acc like the a in moveL and the dec for stopping slowly when near the target point. in advance?","I¡¯m not aware of a way to do this in a single command, but if you can separate the movement into two commands then you can use a different value for each. The key here will be to set a blend radius on the first command so that the robot knows that it is not supposed to come to a stop between the two movements.",0.0877,0.8488
208,Technical Questions,When the robot is running the program and moving between two points without path_offset enabled you can pause and continue the program without the need to move back to the starting point of the motion. If path_offset is enabled it¡¯s necessary need to restart the robot program. Is there a possibility to continue the program? Anything i can do to avoid the necessary restart of the robot program? I¡¯'m not sure this is intended to be like this. Is this a known behavior? Andreas?,I will expect the path_offset is sharing some properties with the conveyor tracking. So the reason is that by pausing the program the synchronization is already lost.,0.0204,0.8512
209,Technical Questions,"I want to calculate a position from a teached waypoint. The calculated position should be once shiftet in Z and once in X. The waypoint is teached not in base feature. If i calculate the pose, everything is working fine when operating in base feature. As soon as i use the calculated pose in a diferent feature, its off. How can i use variable pos in different features?","Actually, each waypoint is stored in the script with reference to the base. If you use a different reference in the polyscope it is simply a transformation of that position by using the pose_trans() function.",0.0422,0.8491
210,Technical Questions,"I¡¯m attempting to send programs to a UR5 CB2 robot. My goal is to update registers via Modbus and have the CB2 follow those setpoints continuously via servoj calls. I am currently able to send a singular servoj command as such: servoj(get_inverse_kin(p[read_port_register(128)*0.1,0.3,0.3,0,0,0]), 1, 1, 1) However, when I attempt to loop this code in any manner, it fails to execute the loop and only runs the internal servo command once. I am attempting to send the following script: while (True): servoj(get_inverse_kin(p[read_port_register(128)*0.1,0.3,0.3,0,0,0]), 1, 1, 1) end How am I able to send a script that contains while loops? Would a recursive function solve this issue?","I haven¡¯t used a CB2 model, so can¡¯t guarantee this suggestion will work. If you send a function, then the robot will execute that function; perhaps you need to do that if you want to include flow-control like a loop.",0.0177,0.825
211,Technical Questions,"I am a user of both the UR3e and UR5e robots. I have heard that alternating the use of the control box between the two robots may cause power issues. (I changed the SD Card) This information was given to me by a distributor, but I have not been able to find any official documentation on this matter. Does anyone have any knowledge about this?","This is an image of the electrical drawing found in the service manual : image1138¡¿753 52.4 KB We also show it in the certified service and troubleshooting (light) trainings. Between UR5e,UR10e and UR16e it¡¯s possible but never with the UR3e because the PSU it¡¯s kind of different",0.0688,0.8456
212,Technical Questions,"I have a camera attached to the flange of the robot. i would like it to take pictures of an object from all angles so I¡¯m trying to create a URScript for it. starting from directly above the object, the robot will move in an arc until 90degrees all the while keeping the camera is directed towards the object. the robot will then return to the starting point directly on top of the object and repeat the arc motion towards another direction. I¡¯m using sin() and cos() functions for calculating the next point and pose_add to move towards it. what I can¡¯t figure out is how to keep the camera directed towards the object. can anyone teach me how to realize what i want to do?","if you set your camera TCP at the center of the object you need to view with camera, then you can simply use movel/movej commands with fixed coordinates for position and change only rotation angles",0.0101,0.8333
213,Technical Questions,"With Polyscope 5.17 requiring an admin password to be set to access some of the settings such as installing URCAPs, is there a way to programmatically set this to a default? Not a huge deal if not, we can just manually set each one before they ship from our facility but it would save us this step if we can do it via a magic file for example?","For sure you can use console to log into root via ssh and then change admin password, but I guess it can take more time than just change it from the polyscope. Maybe some of developers from community will develop sh file to automatically change the password someday.",0.0555,0.8547
214,Technical Questions,"I am trying to use a servoL() command in my urscript, but cannot find its documentation in the manual: s3-eu-west-1.amazonaws.com scriptManual_SW5.11.pdf 766.20 KB Is there another document that I should be referencing instead?","ServoL() does take 6 arguments, you are getting the error because the way you want to use it is on SDU¡¯s ur_rtde third party package. servoL(data2, 0, 0, t, t_step, gain) Works for me, where data2 is a pose in format [x,y,z,rx,ry,rz].",0.0539,0.8188
215,Technical Questions,"I need to mount the sensor on the Tool of the robot. I will use sensor signal as Digital Input. Is it possible to use Connector (near the tool flange) for such purposes? If not, can you recommend any company which produces the wires for dynamic environment? Giorgi?","Of course, you can use the flange connector to connect the sensor and receive/set digital data. Check the instruction manual of your robot model, there you will find a description of the pins in the connector and the type of connector so you will know how to connect it.",0.1051,0.8687
216,Technical Questions,"I am currently trying to create a reference line from two points, in order to move the cobot along this line. I managed to write a URScript to get the TCP poses of the reference points, but I¡¯m stuck with trying to use them to create a line. Does anyone know how to define a line with the first point as the origin and the second point as the direction? , Mathis?","So firtsly : The line as a feature is represented by one point (a 6 axis vector). So if you would like to use one point as origin and second as direction use x,y,z of point one, and rx, ry, rz of second point to create a third point which will be your line origin point (vector with start in point 1 and direction to point 2) From the other hand: If you would like to change or dislocate any position in reference to a vector of two reference points, check this sample of .urp code : So, line_1_pos and line_2_pos is your two reference position which you would like to create a line.",0.1576,0.8473
217,Technical Questions,Teach pendant is coming up with safety b c314a7 fault and i suggests a fuse is blown or 24V power supply is faulty. Not getting an output voltage on power ground and am using an external power supply which seems to be working correctly. Only seems to be one replaceable fuse 10A which is fine?,What do you mean that you¡¯re not getting a voltage on Power and Ground? Your external 24V PSU is to be connected to 24V and GND underneath PWR and GND.,0.0722,0.8444
218,Technical Questions,"I have a problem that started a few weeks ago and has gone from once in a week to several times a day, the robot locks up and displays a message ¡°Gripper1 must be connected to run this program¡± this is happening in the middle of a set not the same spot, the gripper seems to be functioning properly but this is creating significant disruptions in production. Any thoughts would be helpful?","If you¡¯re not getting any response here, you should contact Robotiq or the distributor of the gripper. Sounds like an issue with the gripper and not the robot",0.0393,0.8498
219,Technical Questions,"Morning, is there a remote i/o available for a UR3 CB3? We need to add more inputs / outputs to a project and have been told by our supplier none are available?","The easiest I/O extension is a modbus I/O node, it¡¯s easy to setup and easy to control from the UI. ProfiNET is also possible but can be a bit more complicated as you might need to program the nodes.",0.0735,0.84
220,Technical Questions,"I am trying to set up a 3d print head on the UR3. Firstly the print head uses a stepper motor to extrude. I have decided to use STEP/DIR mode to control the motor. Should I connect the 3 pins as Tool I/O digital outputs or general I/O digital outputs on the UR controller? Also, can I utilize the internal the different voltage levels of tool digital output directly when I connect to the stepper motor driver? in advance?",First off; are you sure the stepper driver accepts 24V on STEP/DIR? The stepepr drivers I have worked with for 3D printing are all 5V.,0.0149,0.8502
221,Technical Questions,"Our customer has a problem on a CB3 robot, that if you stop the robot with a strong force, the CO configured as ¡°System Emergency Stop¡± are Low after. And this is a big problem, because it stopps another big maschine. Is there a possibility, not to lower this signal, when the robot is stopped by an external force?","It sounds like the robot cannot stop in time due to heavy payload or high speed (or similar), which results in an error instead of a regular protective stop. You could try to change the safety settings in the installation.",0.0445,0.8566
222,Technical Questions,"My name is Maw, I¡¯m a student. For a project at the university I would like to connect a linear axis to a UR10 (CB3.1 controller). The mechanical part of the liner axle is already in place. But I still need a suitable drive. A drive that I can connect to the robot and control it from the robot program. Since the motor requires very little power (appr. 1Nm), it can be a stepper motor or a servo motor. I know that there are already ready-made packages available that contain the linear axis and a suitable URCap. However, these are very expensive (>10K). I already have stepper motors from previous projects (Leadshine, Rtelligent, Festo). Is there a possibility that I can control the drives myself without the URCap from the robot? Or is there a cheap URCap where I can use the existing drives? I am thankful for every hint. in advance?",Basically the robot can send/receive commands to external devices through at least the following interfaces: Modbus TCP Ethernet/IP TCP Socket Analog IO 0-10V or 4-20mA Digital IO 0V/24V If you can find a stepper driver that lets you command it with those then you might be in luck,0.0128,0.8125
223,Technical Questions,I am using the ur_rtde python package to communicate and move the UR10 robot. However getActualTCPPose () doesnt give the time in which the pose was captured. Is their any way to have access to this data. I am aware of getTimestamp () which give me access to the clock within the robot but I still need the exact moment the reading was registered for the pose?,"through UR¡¯s TCP/IP server, like primary, realtime and rtde, we can only get system timestamp. possible solution could be get the time from Linux system, like the log file.",0.0189,0.841
224,URCap Development,"In the I/O Setup installation node, you can configure the robot to send a /LO signal on certain actions, such as when the program is not running: I/O Setup1280¡¿800 56.1 KB I would like to make a URCap that runs certain logic when the program is not running. Is there any way to register an even listener for an ¡°action in program¡± ?",Sounds like you¡¯re asking 2 separate questions. Run URCAP logic while a program is not running Register an event listener.,0.0224,0.8581
225,URCap Development,"I¡¯m working with a MiR250 and a UR5e robotic arm, which is equipped with a gripper. I want to mount a ZED X One camera on the end-effector to perform manipulation tasks. The whole system is intended to be controlled via ROS2 (Humble) over WiFi. Additionally, I¡¯m considering integrating a ZED Box Orin for processing. I know there is the URCap , should it works for these camera? My main question is: How can I connect the ZED X One camera mounted on the robot¡¯s end-effector to my computer via WiFi and exchange data using ROS2? Any advice or guidance would be greatly appreciated! in advance!?","So you have a couple of options. probably the easiest would be to add a raspberry pi or some other form of Edge computer near the robot, with a rod node on it to handle this.",0.0213,0.8356
226,URCap Development,"I was wondering what all can happen for this function to be called? I have also noticed in a program when I have two of the same nodes newly created and without doing any modifications on either of them, the node at the top of the program gets extra IsDefined calls the every node after it. Is this normal or is there a reason behind it?","From the manual here: https://www.universal-robots.com/media/1819317/urcap_tutorial_swing.pdf "" The isDefined() method is called when values are written to the DataModel to ensure that the program tree reflects the proper state of the program node."" The isDefined() will also be called on the parent for any child nodes that get their datamodels modified.",0.0855,0.8368
227,URCap Development,"I am new in URCap Development and I have a URCap implemented with Swing that generates a USscript when running the program, but I also want to run another two URScript to change a digital output when pushing two buttons in the Program Tab. The code snippet of the ProgramNodeView is the following: image1046¡¿489 72.9 KB Where the actionperformed event of each button should call a function to generate script in the ProgramContributionNode like this (in this case they are only showing in the View some labels with random numbers) So I want to know what should I change in both ViewNode and ContributionNode functions to reach this objective. in advanced?","URCap Sample: URCap-ScriptCommunicator URCap Development community, I have forked Jacobs URCap-ScriptCommunicator and added the framework to proxy URScript functions from Java. So far it is only a subset of the functions that are implemented yet.",0.025,0.8401
228,URCap Development,"I¡¯m creating a URCap, which allows the user to teach a few points. For each point I¡¯m getting the X, Y, Z, RX, RY and RZ values. Then I need to calculate the center/average between them. I think for the XYZ, it is relatively straight forward, but I¡¯m wondering how I can do it for the rotations. I don¡¯t think simply averaging them can work. Currently looking into quaternion slerps, but I¡¯m not sure if it is the right approach. Has someone already done this?","Not sure it helps, since I don¡¯t know exactly what you¡¯re looking for, but the URScript command ¡°pose_dist()¡± gives the difference in each value of a Pose, rotations included",0.0161,0.8427
229,URCap Development,"To read the robot state I¡¯ve tried to create a modbus signal using ur scrip and the URScriptExporter/Sender class in my Toolbar Contribution of my URCap. My problem right now is, that i can¡¯t create said modbus signal. Reading it (after i created it manually in my ursim) works perfectly fine. I¡¯ve attached a snippet of my code and hope to get some help. code urcaps814¡¿210 13.4 KB?","I would recommend using the secondary interface instead of the primary interface. as the primary interface cannot run if the robot program is already running, but the secondary can.",0.0204,0.8304
230,URCap Development,"Continuing the discussion from Cognex URCap - SafetyA : C4A1 :Communication issue: Cognex Technical Support were unable to point to any solutions and referred me back to Universal. Continuing the discussion from Cognex URCap - SafetyA : C4A1 :Communication issue: Mark, for reaching out, the error appears to be originating from the Universal Robotics software so we are unable to look up the error code we are receiving. I¡¯ll include the documentation we have regarding the URCAP plug-in below. Cognex URCAP Plug-In User Guide: https://support.cognex.com/docs/is_650/ise/EN/Integration%20Notes/Cognex2DRobotGuidance_URCapPlugin.pdf Robots and Motion Systems: https://support.cognex.com/docs/is_632/web/EN/ise/Content/How_To/work-with-robots.htm?tocpath=How%20To¡¦%7CWork%20with%20Robots%20and%20Motion%20Systems%7C_____0 Tyler Kelly Cognex Technical Support?","I just loaded the URCap on our CB3 UR3, and I do not get an error when running an unrelated program, but I do not have a Cognex camera, either. But I don¡¯t believe the error is in the controller.",0.0192,0.8072
231,URCap Development,"So we use the ur10e to pack cones for us. The robot picks up cones then places them on a tray. It then picks again and then goes up in stack height about 23mm then places the cones at a different layer. Basically a pick and place that indexes up 23mm for 17loops then starts over. The way we run these therebis potential to crash and fault the robot. My question is ""how would i go about having the program ask me what layer or what loop im in to resume from that layer? As of now it¡¯ll clear the tray and start over at one. l regardless of spot in the program. I see the option that says ¡°Start program from beginning¡± and ¡°resume at line 26: cone pick¡± but that option doesnt ever work for some reason. And ideas would be great. guys?","There are several ways to achieve this, but if you¡¯re using a loop to loop 17 times, then the simplest should be to make an Assignment in the BeforeStart of your program. The assignment must be Operator based (popup for operator to input value), and the assignment must edit the loop counter variable.",0.0142,0.82
232,URCap Development,! Im deploying a URCap of a depaletizing which has some counters declared as global variables in urscript. I want to keep the value persistent as Polyscope does with his own global variables. I tryied to follow the example of scriptCommunicator and tryied to get the variable from the secondary port but the script command is crashing cause the variable doesn¡¯t exist. Is there a way to make it simlply? very much in advance!?,I would first check and be very sure the script is crashing for the reason you think it is. Using the script communicator will crash if ANY part of the script is wrong.,0.0435,0.8364
233,URCap Development,We have a java project done in Eclipse and we would like to turn it into a URCap file to put in Polyscope. We don¡¯t know how to do this and the documentation online is not very helpful. Does anyone have any advice?,Using the simulator or newer docker container you use Maven to compile the Java code into a URCAP file. plus.universal-robots.com urcap_tutorial_swing.pdf 696.56 KB See specifically the ¡°Deployment with Maven¡± section here,0.0445,0.8416
234,URCap Development,"I have to keep my urcaps compatible with the cb3, so I¡¯d like to use the toolbar for the e-series and an installation node in its stead for the cb3, but I cannot find a way to determine the robot model in the activator, so currently the e-series shows both the toolbar and the installation node, which is rather ugly. Is there a way to determine the robot type in the activator (with the last sdk still supporting the cb3)?","Actually I have to keep the installation contribution around to initialize some global variables, so I¡¯d be happy enought just to hide if from the list of urcaps if it¡¯s not a cb3. I tried returning an empty string in getTitle but it¡¯s still in the list (with no text obviously).",0.1259,0.8571
235,URCap Development,We are trying to implement our program node UI (swing). Some questions came up: Is it possible to reduce the gap between the automatically inserted title and our content (see image)? Is it possible to reduce the size of or even remove the automatically inserted title? image784¡¿441 19.7 KB We have seen that other program nodes actually did both (reduce gap and title size): image843¡¿363 21.5 KB Jonas?,"Through the URCap API, there is no way to reduce the size of the title area or the gap underneath. The BuildUI() method provides access to noly the content area that you reference above.",0.0919,0.8462
236,URCap Development,"Iv¡¯e created a java daemon and added to the MyDaemon example. It will run fine when launched manually outside the URCap project however, it does not want to start when path added to the getExecutable() function. Anything special that needs to be done here to get it to start()? @Override public URL getExecutable() { try { return new URL(""file:com/ur/urcap/examples/mydaemon/impl/daemon/MyDaemonJavaServer-0.1.jar""); // Java } catch (MalformedURLException e) { return null; } }?",What version of the sdk are you using? Take a look at this thread there was a similar problem that was addressed recently: Daemon service does not start any longer - #17 by jbm,0.0254,0.8042
237,URCap Development,"I am working on developing an application that utilizes the UR5 robot and a welding machine to print 3D metal objects. My application relies on URCaps to translate Gcode 3D printing files to URscript, but I¡¯ve encountered an issue where the robot cannot handle larger Gcode files. Although I can generate a few hundred lines of URScript, it¡¯s not enough to handle the larger files. I¡¯m wondering if there are any solutions to this problem? Here is the video of the project. First success multi layers weld UR5 robot - YouTube?","As youve experienced, polyscope is not good at handling massive sequences like yours. For massive scripts like this, you might benefit from streaming the script commands to the robot through the primary or secondary interface.",0.0155,0.8403
238,URCap Development,"Together, i am trying to create a simple URCap. By pressing a button the robot should move to a specific position. As soon as I press the button, i get a error: What could be the issue?","Null pointers usually indicate you are trying to preform a method on an object that has not been instantiated. So what I mean by this is if you have: JButton myButton; myButton.onMouseClick(printToTheScreen(""Button Clicked""))) //Not a real function, but you get the idea.",0.0638,0.8271
239,URCap Development,"Is it possible to obfuscate/protect script code somehow? i have my own urcap plugin, which is provided to the clients. the polyscope allows operator to save robot program on e.g. usb stick (if i¡¯m not wrong, there are two files, one with extension .txt ¡æ the robot program and the second one with .script). the "".script"" file contains script code in its original, human readable form. in my case, script code is not simple but contains some logic, checks, prevention, etc. the client can change "".script"" file (e.g by removing checks or similar) after the original logic e.g. becomes corrupted and use it changed (polyscope allows to load the program from usb stick). this also leads to maintenance problems. is there any way to: obfuscate script code or make public and private methods in script writer, so the client can see and use only public methods and not private or any other way how to prevent script code readability/changes?? in advance?","I might be missing the mark here, but the only way they could take your generated script code, change it, and run it, would be to completely ditch the polyscope URP file and instead run the entire program through a single script command. This would mean there is NO WAY to easily edit the robot waypoints, among tons of other issues.",0.0213,0.8359
240,URCap Development,"I¡¯m creating a URCaps that I want to create new IO, pretty much the same as what the modbus screen does. The Installation will let the user browse an external protocol for values/registers that I want to then show up the lists of inputs and outputs. I can¡¯t seem to find a way to add to the existing set of Inputs and Outputs. Is there an example somewhere on how to do this? Update: 8 days later and I¡¯m no closer to a solution. Surely we must be able to extend the list of inputs and outputs like the Modbus IO configuration does?","I¡¯d also like to do the same, I guess that it¡¯s still not possible. I can define modbus registers in urscript, with modbus_add_signal, unfortunately they¡¯re not available in the toolbar/installation nodes (where I need to interact with those I/O for manual control)",0.0195,0.8494
241,URCap Development,"As the title says, I just wan¡¯t to know if I can get all the variables from the installation tab? is it connected to DataModel class, if so then how do I do?","It is currently not supported by the API (API v. 1.1.0), However the variables are all sent and updated through the Primary Client interface, so it might be possible to read these messages",0.0923,0.8448
242,URCap Development,The application of the robot is to pick up small (metal) parts. How do I know if the part is picked up or not?,"Are the parts at least large enough to impact the payload reading? If you use the script command ¡°zero_ftsensor()¡± prior to picking it up, then call ¡°force()¡± you may see something high enough to indicate a part is attached to the flange that was not there prior to picking.",0.0461,0.8489
243,URCap Development,Say I sell a robot with Version 1.0 of a custom CAP. I make updates and now have a version 2.0. How can I provide this update to the customer without them being able to utilize the CAP on other robots/redistribute it themselves? Is there an example/tutorial I missed?,"if its a true custom solutions aka only on one robot, the easiest would be to hard code the serial nummer of the robot it is gonna be used on into the code and simply check if the robot its right robot somewhere¡¦ This suffers from a bunch of problems though: for one it not really scalable, if you are gonna sell a lot its really gonna become a hassle to get a software developer to hard code the serial number somewhere every time. It also extremely easialy hackable using a java decompilere, for a person with a basic understanding of programming.",0.0382,0.8248
244,URCap Development,"I¡¯m developing an urcap that inserts a program tree for my application. In the program tree there is a sequence where the robot should move to a pose stored in a variable, so I am using variable position waypoints. The problem is that if I insert the node multiple times I obtain ¡°MoveJ PreGraspPose¡±, ¡°MoveJ PreGraspPose_1¡±, ¡°MoveJ PreGraspPose_2¡± as you can see in the photo and the variables PreGraspPose_1 and PreGraspPose_2 are not defined. Is there a way that I can force to always use the variable ¡°PreGraspPose¡± and it doesn¡¯t auto create _1 _2 variables? Now I am using"" .createVariablePositionConfig(variable,blendParameters,waypointMotionParameters) and the ¡°variable¡± is a GlobalVariable created using ""varFactory.createGlobalVariable(¡°PreGraspPose¡±);. The value of ¡°PreGraspPose¡± is defined in the writer using writer.appendLine(¡°global PreGraspPose = p[¡¦]¡±)?","I¡¯ve never created a URCap so I¡¯m clueless there and if you already know the below, my apologies up front: In Polyscope you can either copy and paste the same variable to a new node and it will not increment the name, or you can create a new variable then assign it¡¯s position by linking it to an existing variable from the dropdown (see below). With those two options I would imagine URCaps has a function to either copy/paste the waypoint, or apply values from those linked waypoints.",0.0767,0.8155
245,URCap Development,"Is any way to create custom inputevent or custom inputradiobutton? what i need is a button selection without calling registered ¡°onevent¡± callback, if the selection is not performed by the user, but programmatically from java code. the problem is that the only way to make button selection from the code is by calling setselected() method, which is the same like user click on a button. i need to distinguish if a button is selected by the user (and in that case it is expected that registered callback is called), and if selection is performed programmatically (in this case i don¡¯t want registered callback to be executed) ? in advance?",Calling setSelected() is not the only way to make a selection from a button. That method only sets the state of the button.,0.0105,0.8495
246,URCap Development,"We have implemented things from toolchanger and custom gripper SDK¡¯s, but I cannot find any examples of what we need to add now: With this method, I get my active TCP¡¯s name = idKey public TCP getTCP(String idKey) { return this.tcpContributionModel.getTCP(idKey); } With this method, I can update the Active TCP¡¯s pose. public void updateTCP(String idKey, double x, double y, double z, double rx, double ry, double rz) { Pose pose = this.poseFactory.createPose(x, y, z, rx, ry, rz, Unit.M, com.ur.urcap.api.domain.value.simple.Angle.Unit.RAD); this.update(idKey, pose); } Can someone share a method to be able to pull the Active TCP¡¯s actual pose as well? We need to pull active TCP¡¯s pose and then update it with a measured offset. I see this method: rtdeReader.getActualTcpPose() but it only returns the actual TCP pose right now, is there one for returning a pose for a saved TCP with a specific name? Maybe I am missing one of the SDK examples where this is done?","public String[] getAllTCPs() { Collection<TCP> allTCPs = tcpModel.getTCPs(); tcpList.clear(); tcpList.addAll(allTCPs); ArrayList<String> stringList = new ArrayList<String>(); for(int i = 0; i < tcpList.size(); i++) { stringList.add(tcpList.get(i).toString()); } String[] returnArray = new String[stringList.size()]; returnArray = stringList.toArray(returnArray); return returnArray; } I¡¯ve used something like this before to populate an arrayList of all the TCPs. I probably didn¡¯t do it very efficiently, but I just stored all the names to another String array, then iterate over that array looking for a name that matches whatever I pass to the function.",0.0358,0.8261
247,URCap Development,"I¡¯m reading about import jar files in URCAP Projects, but how is it possible? Anyone has an example to show? My scope is to import jdbc.jar and use it¡¯s functions with toolbar node?",This isn¡¯t something URCap specific. Just google around for adding external jar files through whatever IDE you¡¯re using.,0.0351,0.8706
248,URCap Development,I have a working URCap using an installation node for setup. But when the version number of the URCap is updated the datamodel is emptied and the setup is lost. Is this intended behaviour or am I during something wrong? Additional note: When the URCap is updated a previous version is shown in the installation with a yellow warning label beside saying the corresponding URCap no longer exists?,"No that is not intended behavior. I update my CAP constantly, and the installation data model is always preserved.",0.0153,0.8601
249,URCap Development,"Comunity, has anyone ever programmed a URcap that is communicating directly to a MySQL database ? I mean specifcally the jdbc.driver from mysql package. I have been seraching the internet space, but so far haven t found anybody talking about this ? Goce?","Goce, With the jdbc.driver I opened the dependency-hell ¡¦ and went back to sql4automation Mike",0.0239,0.836
250,URCap Development,I have an installation contribution + view + service for a functionality but I only use the contribution class and I want to hide the view part under installation tab>URCaps. I think it¡¯s the same as the question below. https://forum.universal-robots.com/t/how-to-hide-the-installation-node-urcap/4683 But the only answer there is to remove the registerService from the activator class which also removes my contribution. for your help?,"Sorry for bumping up this thread but it has resurfaced and I still don¡¯t have an answer for it. To clarify, I want an installation contribution class to handle processes but I don¡¯t want it to show in the installation settings tab > URCaps.",0.1714,0.8527
251,URCap Development,"I like to add a treenode just below the current URCAP program node. At the same tree level. Not as a child below. Syntax: To execute the java API function insertChildAfter, the current treenode (to use as 'add just after this treenode) is required 'but also the parent of the current tree node (to use a the parent/root to add a child to). The current treenode is available via TreeNode root = programModel.getRootTreeNode(this); But how can I get the parent tree node ? Any example available ? Wijnand?",insertChildAfter does not need the parent tree node (which is the rootTreeNode). u only need to pass the existing ChildNode which the new node is inserted after and the new ProgramNode (not a TreeNode),0.0395,0.8518
